Modelo,Type,VCE.MAX,HFE.MIN,HFE.MAX,hfe.MIN,hfe.MAX,IC,PD.MAX,Darlington,IC.Stable
2n3055,npn,60,20,70,10,120,14,155,0,
2n6036,pnp,-80,750,15000,25,50,-4,40,1,
2n6039,npn,80,750,15000,,,4,40,1,
2n6109,pnp,-50,30,150,,,-7,40,0,
tip31c,npn,100,10,50,20,,3,40,0,0.5
tip32c,pnp,-100,10,50,,,-3,40,0,
tip35c,npn,100,15,75,,,25,125,0,
tip36c,pnp,-100,15,75,,,-25,125,0,
tip41c,npn,100,15,75,,,6,65,0,
tip42c,pnp,-100,15,75,,,-6,65,0,
tip48,npn,300,30,150,,,1,40,0,
tip120,npn,60,1000,1000,,,50,65,1,
tip122,npn,100,1000,1000,,,5,65,1,
tip127,pnp,-100,1000,1000,,,-5,65,1,
tip132,npn,100,1000,15000,,,8,70,1,
tip137,pnp,-100,1000,15000,,,-8,70,1,
tip2955,pnp,-60,20,70,,,-15,90,0,
tip3055,npn,60,20,70,,,15,90,0,
2n3904,npn,40,100,300,100,400,0.2,0.625,0,0.001
bc547b,npn,45,110,180,150,300,0.1,0.625,0,0.002
